"V1","V2"
4536000,4804000
4486000,4534000
4576000,4754000
5006000,5224000
4946000,5204000
4566000,4714000
4976000,5134000
4466000,4444000
5026000,5244000
4826000,5064000
4876000,5084000
4546000,4634000
4476000,4444000
4486000,4694000
4506000,4644000
4746000,5014000
4946000,5124000
4136000,4094000
4426000,4404000
4696000,5184000
4956000,5324000
4986000,5304000
4706000,5114000
4966000,5354000
4616000,4754000
4856000,5084000
4206000,4254000
4466000,4704000
4836000,5074000
4916000,5244000
4166000,4004000
4526000,4794000
4326000,4304000
4946000,5094000
4646000,5114000
4996000,5144000
5016000,5354000
5086000,5114000
4976000,5124000
4666000,5114000
4136000,4034000
4406000,4414000
4756000,4954000
4946000,5104000
4776000,5274000
5026000,5304000
4846000,5054000
4946000,5194000
4926000,5324000
4316000,4384000
4266000,4244000
4946000,5134000
4606000,4774000
4966000,5124000
4336000,4284000
4986000,5204000
4366000,4394000
4326000,4324000
5016000,5334000
5046000,5384000
4656000,4854000
4736000,4934000
4816000,5044000
4646000,4834000
4486000,4684000
4866000,5084000
4956000,5124000
5056000,5304000
4996000,5304000
4696000,4874000
5076000,5364000
4946000,5314000
4836000,5294000
4896000,5064000
4746000,5034000
4996000,5134000
4146000,4144000
4526000,4574000
4946000,5114000
4666000,4854000
4976000,5214000
4926000,5214000
4786000,5254000
4336000,4294000
4796000,5274000
4726000,5044000
4836000,5044000
4926000,5084000
4836000,5284000
4346000,4274000
5016000,5224000
4336000,4364000
5076000,5374000
4936000,5214000
4336000,4324000
5076000,5104000
5026000,5234000
4566000,4744000
4986000,5214000
4846000,5034000
4606000,4744000
4906000,5244000
4166000,4014000
4916000,5084000
4996000,5314000
4936000,5224000
4936000,5234000
4266000,4334000
5026000,5374000
5036000,5334000
4986000,5124000
4846000,5084000
4876000,5344000
4636000,4814000
5056000,5294000
4486000,4674000
4866000,5304000
4386000,4354000
4986000,5374000
4506000,4854000
4926000,5344000
4736000,5214000
4526000,4584000
4666000,4824000
4986000,5184000
4466000,4684000
4226000,4354000
4756000,4964000
4806000,5044000
5086000,5124000
4896000,5084000
4826000,5074000
5086000,5104000
4556000,4644000
4656000,4834000
4576000,4904000
4576000,4744000
4326000,4374000
4486000,4834000
4956000,5174000
4846000,5064000
4786000,5024000
4946000,5084000
4196000,4074000
4986000,5394000
5076000,5354000
5076000,5344000
4576000,4734000
5076000,5064000
4836000,5084000
4956000,5374000
4516000,4734000
5006000,5294000
5046000,5334000
4996000,5214000
4166000,4194000
4996000,5354000
5056000,5384000
4156000,4204000
4796000,5024000
4276000,4254000
4176000,4034000
5066000,5104000
5006000,5304000
4716000,4844000
5006000,5214000
4766000,4954000
4506000,4544000
4856000,5314000
4516000,4654000
4276000,4244000
4356000,4404000
4976000,5174000
4826000,5084000
4666000,4884000
4956000,5114000
4946000,5144000
4386000,4334000
4946000,5184000
4576000,4664000
5066000,5394000
4906000,5084000
4346000,4284000
4226000,4174000
4996000,5324000
4756000,4974000
4986000,5344000
4206000,4074000
4876000,5304000
4936000,5084000
5076000,5074000
4576000,4934000
4586000,4684000
4616000,4764000
4366000,4404000
5126000,5274000
5046000,5284000
4626000,4754000
5066000,5374000
4466000,4714000
4996000,5384000
4776000,5024000
4986000,5134000
5036000,5264000
4556000,4744000
4946000,5164000
4526000,4634000
4136000,4214000
4726000,4904000
4486000,4824000
5006000,5134000
4806000,5024000
4976000,5384000
4526000,4864000
4216000,4364000
4396000,4424000
5016000,5214000
4436000,4374000
4946000,5154000
4246000,4114000
4876000,5074000
4756000,4994000
4626000,5034000
4916000,5074000
4746000,5214000
5026000,5224000
4576000,4714000
4756000,5004000
4856000,5334000
4946000,5174000
4906000,5054000
